epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
129,25226.3,0.81126,0.99326,0.67357,0,0,0,0,0,0,0,0,0.00658667,0.00658667,0.00658667
130,25421.8,0.83038,0.99353,0.6773,0,0,0,0,0,0,0,0,0.00656,0.00656,0.00656
131,25617.6,0.81766,0.98431,0.6751,0,0,0,0,0,0,0,0,0.00653333,0.00653333,0.00653333
132,25813.1,0.76771,0.99367,0.67621,0,0,0,0,0,0,0,0,0.00650667,0.00650667,0.00650667
133,26008.8,0.77875,0.99642,0.67568,0,0,0,0,0,0,0,0,0.00648,0.00648,0.00648
134,26204.7,0.80731,0.99503,0.67463,0,0,0,0,0,0,0,0,0.00645333,0.00645333,0.00645333
135,26400.6,0.77987,0.99183,0.67415,0,0,0,0,0,0,0,0,0.00642667,0.00642667,0.00642667
136,26596.5,0.81835,0.98857,0.67492,0,0,0,0,0,0,0,0,0.0064,0.0064,0.0064
137,26791.9,0.79856,0.98431,0.67677,0,0,0,0,0,0,0,0,0.00637333,0.00637333,0.00637333
138,26987.8,0.78189,0.9911,0.67253,0,0,0,0,0,0,0,0,0.00634667,0.00634667,0.00634667
139,27183.2,0.80401,0.97991,0.67313,0,0,0,0,0,0,0,0,0.00632,0.00632,0.00632
140,27378.9,0.78161,0.98772,0.6737,0,0,0,0,0,0,0,0,0.00629333,0.00629333,0.00629333
141,27574.6,0.82604,0.97585,0.67301,0,0,0,0,0,0,0,0,0.00626667,0.00626667,0.00626667
142,27770,0.81847,0.98063,0.67084,0,0,0,0,0,0,0,0,0.00624,0.00624,0.00624
143,27965.4,0.81263,0.97253,0.67132,0,0,0,0,0,0,0,0,0.00621333,0.00621333,0.00621333
144,28160.4,0.81127,0.97294,0.66996,0,0,0,0,0,0,0,0,0.00618667,0.00618667,0.00618667
145,28356.1,0.82107,0.97676,0.67466,0,0,0,0,0,0,0,0,0.00616,0.00616,0.00616
146,28551.2,0.82743,0.96762,0.67432,0,0,0,0,0,0,0,0,0.00613333,0.00613333,0.00613333
147,28747.1,0.77008,0.9796,0.67142,0,0,0,0,0,0,0,0,0.00610667,0.00610667,0.00610667
148,28942.3,0.82091,0.97396,0.67178,0,0,0,0,0,0,0,0,0.00608,0.00608,0.00608
149,29137.6,0.79597,0.95977,0.66835,0,0,0,0,0,0,0,0,0.00605333,0.00605333,0.00605333
150,29332.8,0.80113,0.96205,0.66984,0,0,0,0,0,0,0,0,0.00602667,0.00602667,0.00602667
151,29528.3,0.82419,0.96236,0.6714,0,0,0,0,0,0,0,0,0.006,0.006,0.006
152,29723.5,0.80559,0.97421,0.67264,0,0,0,0,0,0,0,0,0.00597333,0.00597333,0.00597333
153,29918.8,0.79388,0.95597,0.66878,0,0,0,0,0,0,0,0,0.00594667,0.00594667,0.00594667
154,30114.5,0.81996,0.96817,0.67203,0,0,0,0,0,0,0,0,0.00592,0.00592,0.00592
155,30310,0.76413,0.96304,0.67122,0,0,0,0,0,0,0,0,0.00589333,0.00589333,0.00589333
156,30505.1,0.79117,0.95985,0.66831,0,0,0,0,0,0,0,0,0.00586667,0.00586667,0.00586667
157,30700.5,0.76214,0.97147,0.67107,0,0,0,0,0,0,0,0,0.00584,0.00584,0.00584
158,30895.8,0.76302,0.95579,0.66904,0,0,0,0,0,0,0,0,0.00581333,0.00581333,0.00581333
159,31091.1,0.79401,0.95871,0.66901,0,0,0,0,0,0,0,0,0.00578667,0.00578667,0.00578667
160,31286.2,0.76038,0.96527,0.66906,0,0,0,0,0,0,0,0,0.00576,0.00576,0.00576
161,31481.6,0.76342,0.96567,0.66845,0,0,0,0,0,0,0,0,0.00573333,0.00573333,0.00573333
162,31677.1,0.80801,0.94986,0.67208,0,0,0,0,0,0,0,0,0.00570667,0.00570667,0.00570667
163,31872.2,0.81062,0.94884,0.66872,0,0,0,0,0,0,0,0,0.00568,0.00568,0.00568
164,32068.4,0.82266,0.95486,0.67009,0,0,0,0,0,0,0,0,0.00565333,0.00565333,0.00565333
165,32263.9,0.81167,0.95017,0.66698,0,0,0,0,0,0,0,0,0.00562667,0.00562667,0.00562667
166,32458.7,0.80872,0.95466,0.67153,0,0,0,0,0,0,0,0,0.0056,0.0056,0.0056
167,32654.8,0.79037,0.95402,0.66808,0,0,0,0,0,0,0,0,0.00557333,0.00557333,0.00557333
168,32850,0.77578,0.94791,0.66802,0,0,0,0,0,0,0,0,0.00554667,0.00554667,0.00554667
169,33045.5,0.76394,0.94348,0.66693,0,0,0,0,0,0,0,0,0.00552,0.00552,0.00552
